trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
63,2018-01-09 05:00:00+00:00,买入TSLA,22.25,172564,3838867.89,0.0,,,,
64,2018-02-09 05:00:00+00:00,卖出TSLA,20.69,0,0.0,3571163.12,-267704.77,-6.97,3471163.11,3471.16
64,2018-02-09 05:00:00+00:00,买入AZO,723.5,4935,3571163.12,-,,,,
65,2018-02-26 05:00:00+00:00,卖出AZO,735.9,4852,0.0,-,61205.96,1.71,3532369.07,3532.37
65,2018-02-26 05:00:00+00:00,买入TSLA,23.83,152441,3632369.08,0.0,,,,
66,2018-03-07 05:00:00+00:00,卖出TSLA,22.15,0,0.0,3377081.05,-255288.03,-7.03,3277081.04,3277.08
66,2018-03-07 05:00:00+00:00,买入AZO,656.77,5141,3377081.05,-,,,,
67,2018-05-07 04:00:00+00:00,卖出AZO,648.85,5204,0.0,-,-40724.5,-1.21,3236356.54,3236.36
67,2018-05-07 04:00:00+00:00,买入TSLA,20.18,165291,3336356.55,0.0,,,,
68,2018-05-17 04:00:00+00:00,卖出TSLA,18.97,0,0.0,3135472.02,-200884.52,-6.02,3035472.02,3035.47
68,2018-05-17 04:00:00+00:00,买入AZO,646.3,4851,3135472.02,-,,,,
69,2018-06-06 04:00:00+00:00,卖出AZO,656.14,4778,0.0,-,47738.09,1.52,3083210.11,3083.21
69,2018-06-06 04:00:00+00:00,买入TSLA,21.3,149446,3183210.12,0.0,,,,
70,2018-07-09 04:00:00+00:00,卖出TSLA,21.23,0,0.0,3173346.65,-9863.47,-0.31,3073346.64,3073.35
70,2018-07-09 04:00:00+00:00,买入AZO,690.62,4594,3173346.65,-,,,,
71,2018-08-07 04:00:00+00:00,卖出AZO,729.91,4347,0.0,-,180534.48,5.69,3253881.12,3253.88
71,2018-08-07 04:00:00+00:00,买入TSLA,25.3,132540,3353881.13,0.0,,,,
72,2018-08-22 04:00:00+00:00,卖出TSLA,21.44,0,0.0,2842011.62,-511869.51,-15.26,2742011.61,2742.01
72,2018-08-22 04:00:00+00:00,买入AZO,758.76,3745,2842011.62,-,,,,
73,2018-10-02 04:00:00+00:00,卖出AZO,762.82,3725,0.0,-,15207.13,0.54,2757218.74,2757.22
73,2018-10-02 04:00:00+00:00,买入TSLA,20.07,142376,2857218.74,0.0,,,,
74,2018-10-04 04:00:00+00:00,卖出TSLA,18.79,0,0.0,2675071.32,-182147.42,-6.37,2575071.32,2575.07
74,2018-10-04 04:00:00+00:00,买入AZO,763.9,3501,2675071.32,-,,,,
75,2018-10-26 04:00:00+00:00,卖出AZO,743.57,3597,0.0,-,-71192.88,-2.66,2503878.44,2503.88
75,2018-10-26 04:00:00+00:00,买入TSLA,22.06,118036,2603878.44,0.0,,,,
76,2018-12-21 05:00:00+00:00,卖出TSLA,21.32,0,0.0,2516295.74,-87582.7,-3.36,2416295.74,2416.3
76,2018-12-21 05:00:00+00:00,买入AZO,826.04,3046,2516295.74,-,,,,
77,2019-04-10 04:00:00+00:00,卖出AZO,1060.17,2373,0.0,-,713210.62,28.34,3129506.36,3129.51
77,2019-04-10 04:00:00+00:00,买入TSLA,18.4,175478,3229506.36,0.0,,,,
78,2019-08-01 04:00:00+00:00,卖出TSLA,15.59,0,0.0,2735709.98,-493796.38,-15.29,2635709.98,2635.71
78,2019-08-01 04:00:00+00:00,买入AZO,1102.82,2480,2735709.98,-,,,,
79,2019-09-10 04:00:00+00:00,卖出AZO,1152.55,2373,0.0,-,123362.96,4.51,2759072.94,2759.07
79,2019-09-10 04:00:00+00:00,买入TSLA,15.7,182075,2859072.95,0.0,,,,
80,2019-12-06 05:00:00+00:00,卖出TSLA,22.39,0,0.0,4077158.97,1218086.03,42.6,3977158.97,3977.16
80,2019-12-06 05:00:00+00:00,买入AZO,1172.66,3476,4077158.97,-,,,,
81,2019-12-10 05:00:00+00:00,卖出AZO,1250.0,3261,0.0,-,268899.19,6.6,4246058.16,4246.06
81,2019-12-10 05:00:00+00:00,买入TSLA,23.26,186879,4346058.17,0.0,,,,
82,2020-03-04 05:00:00+00:00,卖出TSLA,49.97,0,0.0,9337720.89,4991662.73,114.85,9237720.89,9237.72
82,2020-03-04 05:00:00+00:00,买入AZO,1058.24,8823,9337720.89,-,,,,
83,2020-04-14 04:00:00+00:00,卖出AZO,977.14,9556,0.0,-,-715611.72,-7.66,8522109.17,8522.11
83,2020-04-14 04:00:00+00:00,买入TSLA,47.33,182185,8622109.17,0.0,,,,
84,2020-08-12 04:00:00+00:00,卖出TSLA,103.65,0,0.0,18883644.26,10261535.08,119.01,18783644.25,18783.64
84,2020-08-12 04:00:00+00:00,买入AZO,1188.37,15890,18883644.26,-,,,,
85,2020-08-14 04:00:00+00:00,卖出AZO,1196.05,15788,0.0,-,122038.93,0.65,18905683.18,18905.68
85,2020-08-14 04:00:00+00:00,买入TSLA,110.05,172704,19005683.19,0.0,,,,
86,2020-09-15 04:00:00+00:00,卖出TSLA,149.92,0,0.0,25891876.86,6886193.67,36.23,25791876.85,25791.88
86,2020-09-15 04:00:00+00:00,买入AZO,1242.95,20830,25891876.86,-,,,,
87,2020-10-08 04:00:00+00:00,卖出AZO,1150.0,22514,0.0,-,-1936239.42,-7.48,23855637.43,23855.64
87,2020-10-08 04:00:00+00:00,买入TSLA,141.97,168733,23955637.44,0.0,,,,
88,2020-10-26 04:00:00+00:00,卖出TSLA,140.09,0,0.0,23638420.46,-317216.98,-1.32,23538420.45,23538.42
88,2020-10-26 04:00:00+00:00,买入AZO,1152.0,20519,23638420.46,-,,,,
89,2020-11-19 05:00:00+00:00,卖出AZO,1133.76,20849,0.0,-,-374274.79,-1.58,23164145.66,23164.15
89,2020-11-19 05:00:00+00:00,买入TSLA,166.42,139788,23264145.67,0.0,,,,
90,2021-02-17 05:00:00+00:00,卖出TSLA,266.05,0,0.0,37190851.22,13926705.55,59.86,37090851.21,37090.85
90,2021-02-17 05:00:00+00:00,买入AZO,1192.97,31175,37190851.22,-,,,,
91,2021-04-08 04:00:00+00:00,卖出AZO,1417.15,26243,0.0,-,6988815.5,18.79,44079666.71,44079.67
91,2021-04-08 04:00:00+00:00,买入TSLA,227.93,193827,44179666.73,0.0,,,,
92,2021-05-05 04:00:00+00:00,卖出TSLA,223.65,0,0.0,43348794.34,-830872.39,-1.88,43248794.32,43248.79
92,2021-05-05 04:00:00+00:00,买入AZO,1472.11,29446,43348794.34,-,,,,
93,2021-08-02 04:00:00+00:00,卖出AZO,1634.01,26529,0.0,-,4767422.9,11.0,48016217.22,48016.22
93,2021-08-02 04:00:00+00:00,买入TSLA,236.56,203402,48116217.24,0.0,,,,
94,2021-08-23 04:00:00+00:00,卖出TSLA,235.43,0,0.0,47887727.74,-228489.51,-0.47,47787727.71,47787.73
94,2021-08-23 04:00:00+00:00,买入AZO,1622.98,29506,47887727.74,-,,,,
95,2022-01-03 05:00:00+00:00,卖出AZO,2045.11,23415,0.0,-,12455388.84,26.01,60243116.55,60243.12
95,2022-01-03 05:00:00+00:00,买入TSLA,399.93,150885,60343116.58,0.0,,,,
96,2022-01-21 05:00:00+00:00,卖出TSLA,314.63,0,0.0,47473593.02,-12869523.56,-21.33,47373592.99,47373.59
96,2022-01-21 05:00:00+00:00,买入AZO,1942.17,24443,47473593.02,-,,,,
97,2022-03-22 04:00:00+00:00,卖出AZO,1946.82,24385,0.0,-,113660.27,0.24,47487253.26,47487.25
97,2022-03-22 04:00:00+00:00,买入TSLA,331.33,143626,47587253.29,0.0,,,,
98,2022-04-27 04:00:00+00:00,卖出TSLA,293.84,0,0.0,42202701.2,-5384552.09,-11.32,42102701.17,42102.7
98,2022-04-27 04:00:00+00:00,买入AZO,2181.34,19347,42202701.2,-,,,,
99,2022-07-05 04:00:00+00:00,卖出AZO,2140.39,19717,0.0,-,-792269.33,-1.88,41310431.84,41310.43
99,2022-07-05 04:00:00+00:00,买入TSLA,233.07,177676,41410431.86,0.0,,,,
100,2022-08-31 04:00:00+00:00,卖出TSLA,275.61,0,0.0,48969373.15,7558941.29,18.25,48869373.13,48869.37
100,2022-08-31 04:00:00+00:00,买入AZO,2119.21,23107,48969373.15,-,,,,
101,2023-01-25 05:00:00+00:00,卖出AZO,2357.81,20769,0.0,-,5513421.24,11.26,54382794.37,54382.79
101,2023-01-25 05:00:00+00:00,买入TSLA,144.43,377226,54482794.39,0.0,,,,
102,2023-03-09 05:00:00+00:00,卖出TSLA,172.92,0,0.0,65229974.27,10747179.88,19.73,65129974.25,65129.97
102,2023-03-09 05:00:00+00:00,买入AZO,2422.19,26930,65229974.27,-,,,,
103,2023-03-31 04:00:00+00:00,卖出AZO,2458.15,26536,0.0,-,968407.67,1.48,66098381.92,66098.38
103,2023-03-31 04:00:00+00:00,买入TSLA,207.46,319089,66198381.95,0.0,,,,
104,2023-04-11 04:00:00+00:00,卖出TSLA,186.79,0,0.0,59602790.51,-6595591.44,-9.96,59502790.48,59502.79
104,2023-04-11 04:00:00+00:00,买入AZO,2559.54,23286,59602790.51,-,,,,
105,2023-05-22 04:00:00+00:00,卖出AZO,2619.8,22750,0.0,-,1403246.16,2.35,60906036.64,60906.04
105,2023-05-22 04:00:00+00:00,买入TSLA,188.87,323005,61006036.67,0.0,,,,
106,2023-07-27 04:00:00+00:00,卖出TSLA,255.71,0,0.0,82595724.31,21589687.64,35.39,82495724.28,82495.72
106,2023-07-27 04:00:00+00:00,买入AZO,2446.92,33754,82595724.31,-,,,,
107,2023-09-05 04:00:00+00:00,卖出AZO,2556.06,32313,0.0,-,3684022.74,4.46,86179747.02,86179.75
107,2023-09-05 04:00:00+00:00,买入TSLA,256.49,336386,86279747.05,0.0,,,,
108,2023-09-28 04:00:00+00:00,卖出TSLA,246.38,0,0.0,82878885.38,-3400861.68,-3.94,82778885.34,82778.89
108,2023-09-28 04:00:00+00:00,买入AZO,2559.48,32381,82878885.38,-,,,,
109,2023-10-09 04:00:00+00:00,卖出AZO,2564.93,32312,0.0,-,176475.64,0.21,82955360.98,82955.36
109,2023-10-09 04:00:00+00:00,买入TSLA,259.67,319849,83055361.02,0.0,,,,
110,2023-10-18 04:00:00+00:00,卖出TSLA,242.68,0,0.0,77621108.95,-5434252.07,-6.54,77521108.91,77521.11
110,2023-10-18 04:00:00+00:00,买入AZO,2629.4,29520,77621108.95,-,,,,
111,2023-11-21 05:00:00+00:00,卖出AZO,2676.09,29005,0.0,-,1378316.01,1.78,78899424.92,78899.42
111,2023-11-21 05:00:00+00:00,买入TSLA,241.2,327526,78999424.96,0.0,,,,
112,2024-01-08 05:00:00+00:00,卖出TSLA,240.45,0,0.0,78753779.98,-245644.98,-0.31,78653779.94,78653.78
112,2024-01-08 05:00:00+00:00,买入AZO,2553.93,30836,78753779.98,-,,,,
113,2024-02-28 05:00:00+00:00,卖出AZO,3011.62,26149,0.0,-,14113477.32,17.92,92767257.26,92767.26
113,2024-02-28 05:00:00+00:00,买入TSLA,202.04,459647,92867257.3,0.0,,,,
114,2024-03-07 05:00:00+00:00,卖出TSLA,178.65,0,0.0,82116093.36,-10751163.95,-11.58,82016093.31,82016.09
114,2024-03-07 05:00:00+00:00,买入AZO,3124.01,26285,82116093.36,-,,,,
115,2024-05-01 04:00:00+00:00,卖出AZO,2946.81,27866,0.0,-,-4657785.25,-5.67,77358308.06,77358.31
115,2024-05-01 04:00:00+00:00,买入TSLA,179.99,430347,77458308.11,0.0,,,,
116,2024-06-06 04:00:00+00:00,卖出TSLA,177.94,0,0.0,76576093.75,-882214.36,-1.14,76476093.7,76476.09
116,2024-06-06 04:00:00+00:00,买入AZO,2764.69,27697,76576093.75,-,,,,
117,2024-06-18 04:00:00+00:00,卖出AZO,2968.75,25794,0.0,-,5652034.23,7.38,82128127.93,82128.13
117,2024-06-18 04:00:00+00:00,买入TSLA,184.86,444812,82228127.97,0.0,,,,
118,2024-07-31 04:00:00+00:00,卖出TSLA,232.07,0,0.0,103227751.8,20999623.83,25.54,103127751.76,103127.75
118,2024-07-31 04:00:00+00:00,买入AZO,3133.69,32941,103227751.8,-,,,,
119,2024-09-10 04:00:00+00:00,卖出AZO,3132.27,32956,0.0,-,-46774.04,-0.05,103080977.72,103080.98
119,2024-09-10 04:00:00+00:00,买入TSLA,226.17,456209,103180977.76,0.0,,,,
120,2024-10-14 04:00:00+00:00,卖出TSLA,219.16,0,0.0,99982949.32,-3198028.44,-3.1,99882949.28,99882.95
120,2024-10-14 04:00:00+00:00,买入AZO,3153.04,31710,99982949.32,-,,,,
121,2024-10-29 04:00:00+00:00,卖出AZO,3060.89,32664,0.0,-,-2922082.6,-2.92,96960866.68,96960.87
121,2024-10-29 04:00:00+00:00,买入TSLA,259.52,374001,97060866.72,0.0,,,,
122,2025-01-08 05:00:00+00:00,卖出TSLA,394.94,0,0.0,147708155.68,50647288.96,52.18,147608155.64,147608.16
122,2025-01-08 05:00:00+00:00,买入AZO,3303.35,44714,147708155.68,-,,,,
123,2025-04-29 04:00:00+00:00,卖出AZO,3704.95,39867,0.0,-,17957398.38,12.16,165565554.02,165565.55
123,2025-04-29 04:00:00+00:00,买入TSLA,292.03,567289,165665554.06,0.0,,,,
124,2025-06-10 04:00:00+00:00,卖出TSLA,326.09,0,0.0,184987433.28,19321879.23,11.66,184887433.25,184887.43
124,2025-06-10 04:00:00+00:00,买入AZO,3713.57,49813,184987433.28,-,,,,
125,2025-07-21 04:00:00+00:00,卖出AZO,3729.7,49598,0.0,-,803492.48,0.43,185690925.73,185690.93
125,2025-07-21 04:00:00+00:00,买入TSLA,328.49,565590,185790925.76,0.0,,,,
126,2025-07-31 04:00:00+00:00,卖出TSLA,308.27,0,0.0,174354678.52,-11436247.24,-6.16,174254678.49,174254.68
126,2025-07-31 04:00:00+00:00,买入AZO,3768.38,46267,174354678.52,-,,,,
127,2025-08-11 04:00:00+00:00,卖出AZO,4036.79,43191,0.0,-,12418749.69,7.12,186673428.18,186673.43
