trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
63,2018-01-09 05:00:00+00:00,卖出ORLY,17.42,100705,0.0,-,84443.1,4.81,3574430.95,3574.43
63,2018-01-09 05:00:00+00:00,买入TSLA,22.25,165172,3674430.99,0.0,,,,
64,2018-02-09 05:00:00+00:00,卖出TSLA,20.69,0,0.0,3418193.28,-256237.71,-6.97,3318193.24,3318.19
64,2018-02-09 05:00:00+00:00,买入AZO,723.5,2362,1709096.64,-,,,,
64,2018-02-09 05:00:00+00:00,买入ORLY,16.66,102615,1709096.64,-,,,,
65,2018-02-26 05:00:00+00:00,卖出AZO,735.9,2322,0.0,-,29292.11,1.71,3347485.35,3347.49
65,2018-02-26 05:00:00+00:00,卖出ORLY,17.0,100546,0.0,-,35162.94,2.06,3382648.29,3382.65
65,2018-02-26 05:00:00+00:00,买入TSLA,23.83,146157,3482648.32,0.0,,,,
66,2018-03-07 05:00:00+00:00,卖出TSLA,22.15,0,0.0,3237882.88,-244765.45,-7.03,3137882.84,3137.88
66,2018-03-07 05:00:00+00:00,买入AZO,656.77,2465,1618941.44,-,,,,
66,2018-03-07 05:00:00+00:00,买入ORLY,16.19,100025,1618941.44,-,,,,
67,2018-05-07 04:00:00+00:00,卖出AZO,648.85,2495,0.0,-,-19522.95,-1.21,3118359.89,3118.36
67,2018-05-07 04:00:00+00:00,卖出ORLY,17.54,92275,0.0,-,135967.58,8.4,3254327.47,3254.33
67,2018-05-07 04:00:00+00:00,买入TSLA,20.18,166181,3354327.51,0.0,,,,
68,2018-05-17 04:00:00+00:00,卖出TSLA,18.97,0,0.0,3152360.94,-201966.57,-6.02,3052360.9,3052.36
68,2018-05-17 04:00:00+00:00,买入AZO,646.3,2438,1576180.47,-,,,,
68,2018-05-17 04:00:00+00:00,买入ORLY,18.19,86638,1576180.47,-,,,,
69,2018-06-06 04:00:00+00:00,卖出AZO,656.14,2402,0.0,-,23997.61,1.52,3076358.51,3076.36
69,2018-06-06 04:00:00+00:00,卖出ORLY,18.61,84701,0.0,-,36041.54,2.29,3112400.05,3112.4
69,2018-06-06 04:00:00+00:00,买入TSLA,21.3,150816,3212400.09,0.0,,,,
70,2018-07-09 04:00:00+00:00,卖出TSLA,21.23,0,0.0,3202446.17,-9953.91,-0.31,3102446.14,3102.45
70,2018-07-09 04:00:00+00:00,买入AZO,690.62,2318,1601223.09,-,,,,
70,2018-07-09 04:00:00+00:00,买入ORLY,19.29,82999,1601223.09,-,,,,
71,2018-08-07 04:00:00+00:00,卖出AZO,729.91,2193,0.0,-,91094.99,5.69,3193541.13,3193.54
71,2018-08-07 04:00:00+00:00,卖出ORLY,21.04,76086,0.0,-,145470.15,9.08,3339011.28,3339.01
71,2018-08-07 04:00:00+00:00,买入TSLA,25.3,135904,3439011.31,0.0,,,,
72,2018-08-22 04:00:00+00:00,卖出TSLA,21.44,0,0.0,2914149.22,-524862.08,-15.26,2814149.2,2814.15
72,2018-08-22 04:00:00+00:00,买入AZO,758.76,1920,1457074.61,-,,,,
72,2018-08-22 04:00:00+00:00,买入ORLY,21.91,66500,1457074.61,-,,,,
73,2018-10-02 04:00:00+00:00,卖出AZO,762.82,1910,0.0,-,7796.56,0.54,2821945.76,2821.95
73,2018-10-02 04:00:00+00:00,卖出ORLY,22.81,63889,0.0,-,59540.22,4.09,2881485.98,2881.49
73,2018-10-02 04:00:00+00:00,买入TSLA,20.07,148569,2981486.01,0.0,,,,
74,2018-10-04 04:00:00+00:00,卖出TSLA,18.79,0,0.0,2791416.56,-190069.45,-6.37,2691416.53,2691.42
74,2018-10-04 04:00:00+00:00,买入AZO,763.9,1827,1395708.28,-,,,,
74,2018-10-04 04:00:00+00:00,买入ORLY,22.63,61676,1395708.28,-,,,,
75,2018-10-26 04:00:00+00:00,卖出AZO,743.57,1877,0.0,-,-37144.62,-2.66,2654271.91,2654.27
75,2018-10-26 04:00:00+00:00,卖出ORLY,21.74,64203,0.0,-,-54933.62,-3.94,2599338.29,2599.34
75,2018-10-26 04:00:00+00:00,买入TSLA,22.06,122363,2699338.32,0.0,,,,
76,2018-12-21 05:00:00+00:00,卖出TSLA,21.32,0,0.0,2608544.78,-90793.54,-3.36,2508544.75,2508.54
76,2018-12-21 05:00:00+00:00,买入AZO,826.04,1578,1304272.39,-,,,,
76,2018-12-21 05:00:00+00:00,买入ORLY,22.04,59182,1304272.39,-,,,,
77,2019-04-10 04:00:00+00:00,卖出AZO,1060.17,1230,0.0,-,369678.7,28.34,2878223.45,2878.22
77,2019-04-10 04:00:00+00:00,卖出ORLY,27.0,48305,0.0,-,293704.97,22.52,3171928.42,3171.93
77,2019-04-10 04:00:00+00:00,买入TSLA,18.4,177783,3271928.45,0.0,,,,
78,2019-08-01 04:00:00+00:00,卖出TSLA,15.59,0,0.0,2771645.67,-500282.78,-15.29,2671645.64,2671.65
78,2019-08-01 04:00:00+00:00,买入AZO,1102.82,1256,1385822.83,-,,,,
78,2019-08-01 04:00:00+00:00,买入ORLY,24.99,55462,1385822.83,-,,,,
79,2019-09-10 04:00:00+00:00,卖出AZO,1152.55,1202,0.0,-,62491.72,4.51,2734137.36,2734.14
79,2019-09-10 04:00:00+00:00,卖出ORLY,27.18,50989,0.0,-,121573.75,8.77,2855711.11,2855.71
79,2019-09-10 04:00:00+00:00,买入TSLA,15.7,188229,2955711.13,0.0,,,,
80,2019-12-06 05:00:00+00:00,卖出TSLA,22.39,0,0.0,4214969.12,1259257.98,42.6,4114969.09,4114.97
80,2019-12-06 05:00:00+00:00,买入AZO,1172.66,1797,2107484.56,-,,,,
