trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
27,2015-12-18 05:00:00+00:00,买入,15.53,355416,5518188.82,11.46,,,,
27,2016-01-08 05:00:00+00:00,卖出,14.52,355416,5162062.04,5162073.51,-356126.78,-6.45,4162073.5,416.21
28,2016-02-29 05:00:00+00:00,买入,12.83,402448,5162066.41,7.09,,,,
28,2016-05-04 04:00:00+00:00,卖出,15.35,402448,6178650.07,6178657.16,1016583.66,19.69,5178657.16,517.87
29,2016-06-08 04:00:00+00:00,买入,15.59,396406,6178648.34,8.82,,,,
29,2016-06-20 04:00:00+00:00,卖出,14.63,396406,5800741.08,5800749.9,-377907.26,-6.12,4800749.9,480.07
30,2016-06-22 04:00:00+00:00,买入,13.3,436212,5800747.32,2.58,,,,
30,2016-06-23 04:00:00+00:00,卖出,13.05,436212,5690821.55,5690824.13,-109925.78,-1.9,4690824.12,469.08
31,2016-07-12 04:00:00+00:00,买入,14.94,380911,5690810.18,13.95,,,,
31,2016-08-17 04:00:00+00:00,卖出,14.96,380911,5696650.76,5696664.7,5840.58,0.1,4696664.7,469.67
32,2016-10-05 04:00:00+00:00,买入,14.15,402610,5696662.96,1.74,,,,
32,2016-10-11 04:00:00+00:00,卖出,13.46,402610,5417788.68,5417790.42,-278874.28,-4.9,4417790.42,441.78
33,2016-12-12 05:00:00+00:00,买入,12.85,421508,5417782.89,7.54,,,,
33,2017-03-01 05:00:00+00:00,卖出,16.95,421508,7142593.62,7142601.16,1724810.74,31.84,6142601.16,614.26
34,2017-03-21 04:00:00+00:00,买入,17.52,407636,7142597.73,3.43,,,,
34,2017-03-22 04:00:00+00:00,卖出,16.77,407636,6836327.26,6836330.69,-306270.48,-4.29,5836330.68,583.63
35,2017-03-29 04:00:00+00:00,买入,18.56,368416,6836327.21,3.48,,,,
35,2017-05-24 04:00:00+00:00,卖出,20.43,368416,7528212.55,7528216.03,691885.34,10.12,6528216.02,652.82
36,2017-05-30 04:00:00+00:00,买入,21.73,346390,7528209.42,6.61,,,,
36,2017-07-06 04:00:00+00:00,卖出,21.15,346390,7326379.61,7326386.22,-201829.81,-2.68,6326386.21,632.64
37,2017-08-08 04:00:00+00:00,买入,23.84,307375,7326385.44,0.78,,,,
37,2017-09-11 04:00:00+00:00,卖出,23.42,307375,7199746.74,7199747.52,-126638.7,-1.73,6199747.51,619.97
38,2017-09-12 04:00:00+00:00,买入,24.3,296294,7199746.74,0.77,,,,
38,2017-09-27 04:00:00+00:00,卖出,23.33,296294,6911551.7,6911552.48,-288195.04,-4.0,5911552.47,591.16
39,2017-12-12 05:00:00+00:00,买入,22.03,313733,6911538.21,14.27,,,,
39,2018-01-02 05:00:00+00:00,卖出,20.8,313733,6525646.16,6525660.43,-385892.04,-5.58,5525660.43,552.57
40,2018-01-09 05:00:00+00:00,买入,22.34,292054,6525654.54,5.9,,,,
40,2018-02-09 05:00:00+00:00,卖出,21.33,292054,6229122.42,6229128.32,-296532.12,-4.54,5229128.31,522.91
41,2018-02-26 05:00:00+00:00,买入,23.57,264319,6229118.0,10.32,,,,
41,2018-03-07 05:00:00+00:00,卖出,21.7,264319,5734664.8,5734675.12,-494453.2,-7.94,4734675.11,473.47
42,2018-05-03 04:00:00+00:00,买入,18.59,308548,5734673.26,1.85,,,,
42,2018-05-17 04:00:00+00:00,卖出,19.06,308548,5880924.72,5880926.57,146251.45,2.55,4880926.56,488.09
43,2018-06-05 04:00:00+00:00,买入,19.85,296318,5880924.48,2.09,,,,
